정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
정부인천지방합동청사,37386,35231 ,18289 ,35231 ,18289 ,0 ,1726 
정부인천지방합동청사,37388,28457 ,32489 ,28457 ,32489 ,0 ,1966 
정비단지,37005,2391 ,1448 ,2391 ,1448 ,0 ,123 
정비단지,37006,898 ,2502 ,898 ,2502 ,0 ,109 
정서진삼거리,89234,4 ,393 ,4 ,393 ,0 ,12 
정석항공과학고,37168,20610 ,5243 ,20610 ,5243 ,0 ,833 
정석항공과학고,37170,11622 ,22313 ,11622 ,22313 ,0 ,1094 
정수사입구,43404,9 ,3 ,9 ,3 ,0 ,0 
정수사입구,43436,11 ,14 ,11 ,14 ,0 ,0 
정하,43183,54 ,1 ,53 ,1 ,1 ,1 
정하,43208,3 ,33 ,3 ,33 ,0 ,1 
제물포시장,37310,949 ,826 ,949 ,826 ,0 ,57 
제물포시장,37311,1015 ,1018 ,1015 ,1018 ,0 ,65 
제물포신협(구박문여고),36003,10639 ,5313 ,10639 ,5313 ,0 ,514 
제물포신협(구박문여고),37499,5694 ,8250 ,5694 ,8250 ,0 ,449 
제물포여자중학교,37288,3826 ,2246 ,3826 ,2246 ,0 ,195 
제물포여자중학교,37290,6003 ,5202 ,6003 ,5202 ,0 ,361 
제물포여자중학교,37298,7999 ,10756 ,7999 ,10756 ,0 ,605 
제물포역,37355,62747 ,37945 ,62747 ,37945 ,0 ,3248 
제물포역,37364,28008 ,22565 ,28008 ,22565 ,0 ,1631 
제물포역,37496,36170 ,47956 ,36170 ,47956 ,0 ,2713 
제물포역,37498,20602 ,5261 ,20602 ,5261 ,0 ,834 
제물포역,37502,32087 ,35574 ,32087 ,35574 ,0 ,2182 
제물포역(동양빌딩),37339,1969 ,6519 ,1969 ,6519 ,0 ,273 
제물포중학교,42064,3408 ,9383 ,3408 ,9383 ,0 ,412 
제물포중학교,42065,9541 ,3681 ,9541 ,3681 ,0 ,426 
제운사거리,37177,7839 ,2765 ,7839 ,2765 ,0 ,342 
제운사거리,37184,4381 ,11730 ,4381 ,11730 ,0 ,519 
제운사거리(청년창업특화거리),37175,3676 ,5489 ,3676 ,5489 ,0 ,295 
제운사거리(청년창업특화거리),37534,4928 ,6587 ,4928 ,6587 ,0 ,371 
제일시장,37316,7643 ,7901 ,7643 ,7901 ,0 ,501 
제일시장,37329,11233 ,11056 ,11233 ,11056 ,0 ,719 
제일시장사거리,37667,1422 ,764 ,1422 ,764 ,0 ,70 
제일주유소,57020,2364 ,1253 ,2364 ,1253 ,0 ,116 
제일주유소,57021,905 ,3620 ,905 ,3620 ,0 ,145 
